time: 452125 	 x: 337 	 y: 142
time: 452171 	 x: 337 	 y: 142
time: 452187 	 x: 337 	 y: 142
time: 452187 	 x: 337 	 y: 142
time: 452203 	 x: 337 	 y: 142
time: 452203 	 x: 337 	 y: 142
time: 452218 	 x: 337 	 y: 142
time: 452296 	 x: 337 	 y: 142
time: 452500 	 x: 337 	 y: 142
time: 453359 	 x: 337 	 y: 140
time: 453359 	 x: 337 	 y: 139
time: 453359 	 x: 337 	 y: 135
time: 453375 	 x: 337 	 y: 133
time: 453375 	 x: 337 	 y: 129
time: 453375 	 x: 337 	 y: 124
time: 453375 	 x: 337 	 y: 119
time: 453390 	 x: 337 	 y: 113
time: 453390 	 x: 336 	 y: 109
time: 453390 	 x: 335 	 y: 105
time: 453390 	 x: 335 	 y: 103
time: 453406 	 x: 334 	 y: 102
time: 453406 	 x: 334 	 y: 101
time: 453578 	 x: 334 	 y: 100
time: 453609 	 x: 334 	 y: 100
time: 453609 	 x: 334 	 y: 99
time: 453703 	 x: 334 	 y: 99
time: 453781 	 x: 334 	 y: 99
time: 453796 	 x: 334 	 y: 99
time: 453812 	 x: 334 	 y: 99
time: 453812 	 x: 334 	 y: 99
time: 453812 	 x: 334 	 y: 98
time: 453906 	 x: 334 	 y: 98
time: 454296 	 x: 335 	 y: 98
time: 454296 	 x: 336 	 y: 97
time: 454296 	 x: 336 	 y: 94
time: 454296 	 x: 337 	 y: 93
time: 454312 	 x: 338 	 y: 92
time: 454312 	 x: 340 	 y: 90
time: 454312 	 x: 342 	 y: 86
time: 454312 	 x: 343 	 y: 84
time: 454328 	 x: 344 	 y: 82
time: 454328 	 x: 346 	 y: 77
time: 454328 	 x: 348 	 y: 74
time: 454328 	 x: 350 	 y: 71
time: 454343 	 x: 350 	 y: 69
time: 454343 	 x: 351 	 y: 69
time: 454375 	 x: 352 	 y: 68
time: 454390 	 x: 353 	 y: 67
time: 454390 	 x: 353 	 y: 66
time: 454406 	 x: 353 	 y: 65
time: 454406 	 x: 354 	 y: 64
time: 454406 	 x: 355 	 y: 64
time: 454437 	 x: 355 	 y: 63
time: 454453 	 x: 355 	 y: 61
time: 454453 	 x: 355 	 y: 60
time: 454453 	 x: 356 	 y: 58
time: 454453 	 x: 356 	 y: 57
time: 454468 	 x: 356 	 y: 56
time: 455328 	 x: 357 	 y: 53
time: 455328 	 x: 358 	 y: 53
time: 455328 	 x: 359 	 y: 50
time: 455328 	 x: 360 	 y: 48
time: 455343 	 x: 363 	 y: 44
time: 455343 	 x: 365 	 y: 40
time: 455343 	 x: 366 	 y: 36
time: 455359 	 x: 368 	 y: 32
time: 455359 	 x: 370 	 y: 29
time: 455359 	 x: 370 	 y: 24
time: 455359 	 x: 371 	 y: 22
time: 455375 	 x: 373 	 y: 19
time: 455375 	 x: 374 	 y: 16
time: 455375 	 x: 377 	 y: 11
time: 455375 	 x: 380 	 y: 6
time: 455390 	 x: 383 	 y: 1
time: 455390 	 x: 385 	 y: 0
time: 455390 	 x: 388 	 y: 0
time: 455390 	 x: 391 	 y: 0
time: 455406 	 x: 394 	 y: 0
time: 455406 	 x: 396 	 y: 0
time: 455406 	 x: 399 	 y: 0
time: 455406 	 x: 401 	 y: 0
time: 455421 	 x: 403 	 y: 0
time: 455421 	 x: 404 	 y: 0
time: 455421 	 x: 406 	 y: 0
time: 455437 	 x: 407 	 y: 0
time: 455437 	 x: 408 	 y: 0
time: 455453 	 x: 409 	 y: 0
time: 455453 	 x: 411 	 y: 0
time: 455453 	 x: 412 	 y: 0
time: 455468 	 x: 416 	 y: 0
time: 455468 	 x: 417 	 y: 0
time: 455484 	 x: 418 	 y: 0
time: 455484 	 x: 419 	 y: 0
time: 455484 	 x: 420 	 y: 0
time: 455640 	 x: 421 	 y: 2
time: 455656 	 x: 422 	 y: 3
time: 455656 	 x: 422 	 y: 4
time: 455671 	 x: 423 	 y: 5
time: 455671 	 x: 423 	 y: 6
time: 455687 	 x: 423 	 y: 7
time: 455703 	 x: 423 	 y: 8
time: 455718 	 x: 424 	 y: 10
time: 455718 	 x: 424 	 y: 11
time: 455734 	 x: 424 	 y: 12
time: 455734 	 x: 424 	 y: 13
time: 455734 	 x: 424 	 y: 14
time: 455750 	 x: 424 	 y: 15
time: 455750 	 x: 424 	 y: 16
time: 455750 	 x: 424 	 y: 17
time: 455765 	 x: 424 	 y: 18
time: 455765 	 x: 424 	 y: 19
time: 455765 	 x: 424 	 y: 20
time: 455781 	 x: 424 	 y: 21
time: 455781 	 x: 424 	 y: 22
time: 455781 	 x: 424 	 y: 23
time: 455781 	 x: 424 	 y: 23
